"Date","Actual Data","GM(1, 1)","NGBM(1, 1)","ONGBM(1, 1)"
"01/28/2020","6061","6061","6061","6061"
"01/29/2020","7816","9946","7258","7130"
"01/30/2020","9821","11451","9822","9824"
"01/31/2020","11948","13185","12418","12378"
"02/01/2020","14551","15181","15098","15056"
"02/02/2020","17387","17479","17898","17860"
"02/03/2020","20626","20125","20842","20793"
"02/04/2020","24553","23172","23953","23862"
"02/05/2020","28276","26679","27251","27068"
"02/06/2020","31439","30719","30755","30417"
"02/07/2020","34875","35369","34483","33915"
"02/08/2020","37552","40724","38455","37564"